Start_Date,End_Date,Source,Site ID,POC,Daily Mean PM2.5 Concentration,UNITS,DAILY_AQI_VALUE,Site Name,DAILY_OBS_COUNT,PERCENT_COMPLETE,AQS_PARAMETER_CODE,AQS_PARAMETER_DESC,CBSA_CODE,CBSA_NAME,STATE_CODE,STATE,COUNTY_CODE,COUNTY,SITE_LATITUDE,SITE_LONGITUDE
2022-02-04,2022-02-04,AirNow,370670030,3,4.5,ug/m3 LC,19,Clemmons Middle,1,100,88101,PM2.5 - Local Conditions,49180,"Winston-Salem, NC",37,North Carolina,67,Forsyth,36.026612,-80.341962
2022-02-19,2022-02-19,AirNow,370670022,3,4.5,ug/m3 LC,19,Hattie Avenue,1,100,88101,PM2.5 - Local Conditions,49180,"Winston-Salem, NC",37,North Carolina,67,Forsyth,36.11094,-80.224501
2022-02-25,2022-02-25,AirNow,370670022,3,4.5,ug/m3 LC,19,Hattie Avenue,1,100,88101,PM2.5 - Local Conditions,49180,"Winston-Salem, NC",37,North Carolina,67,Forsyth,36.11094,-80.224501
2022-01-02,2022-01-02,AirNow,370670030,3,4.3,ug/m3 LC,18,Clemmons Middle,1,100,88101,PM2.5 - Local Conditions,49180,"Winston-Salem, NC",37,North Carolina,67,Forsyth,36.026612,-80.341962
2022-01-03,2022-01-03,AirNow,370670030,3,4.2,ug/m3 LC,18,Clemmons Middle,1,100,88101,PM2.5 - Local Conditions,49180,"Winston-Salem, NC",37,North Carolina,67,Forsyth,36.026612,-80.341962
2022-01-07,2022-01-07,AirNow,370670030,3,4.2,ug/m3 LC,18,Clemmons Middle,1,100,88101,PM2.5 - Local Conditions,49180,"Winston-Salem, NC",37,North Carolina,67,Forsyth,36.026612,-80.341962
2022-01-29,2022-01-29,AirNow,370670022,3,4.4,ug/m3 LC,18,Hattie Avenue,1,100,88101,PM2.5 - Local Conditions,49180,"Winston-Salem, NC",37,North Carolina,67,Forsyth,36.11094,-80.224501
2022-02-04,2022-02-04,AirNow,370670022,3,4.4,ug/m3 LC,18,Hattie Avenue,1,100,88101,PM2.5 - Local Conditions,49180,"Winston-Salem, NC",37,North Carolina,67,Forsyth,36.11094,-80.224501
2022-02-20,2022-02-20,AirNow,370670022,3,4.4,ug/m3 LC,18,Hattie Avenue,1,100,88101,PM2.5 - Local Conditions,49180,"Winston-Salem, NC",37,North Carolina,67,Forsyth,36.11094,-80.224501
2022-01-21,2022-01-21,AirNow,370670022,3,4.1,ug/m3 LC,17,Hattie Avenue,1,100,88101,PM2.5 - Local Conditions,49180,"Winston-Salem, NC",37,North Carolina,67,Forsyth,36.11094,-80.224501
2022-02-05,2022-02-05,AirNow,370670030,3,4.1,ug/m3 LC,17,Clemmons Middle,1,100,88101,PM2.5 - Local Conditions,49180,"Winston-Salem, NC",37,North Carolina,67,Forsyth,36.026612,-80.341962
2022-01-02,2022-01-02,AirNow,370670022,3,3.8,ug/m3 LC,16,Hattie Avenue,1,100,88101,PM2.5 - Local Conditions,49180,"Winston-Salem, NC",37,North Carolina,67,Forsyth,36.11094,-80.224501
2022-01-07,2022-01-07,AirNow,370670022,3,3.8,ug/m3 LC,16,Hattie Avenue,1,100,88101,PM2.5 - Local Conditions,49180,"Winston-Salem, NC",37,North Carolina,67,Forsyth,36.11094,-80.224501
2022-02-05,2022-02-05,AirNow,370670022,3,3.7,ug/m3 LC,15,Hattie Avenue,1,100,88101,PM2.5 - Local Conditions,49180,"Winston-Salem, NC",37,North Carolina,67,Forsyth,36.11094,-80.224501
2022-01-03,2022-01-03,AirNow,370670022,3,2.8,ug/m3 LC,12,Hattie Avenue,1,100,88101,PM2.5 - Local Conditions,49180,"Winston-Salem, NC",37,North Carolina,67,Forsyth,36.11094,-80.224501
2022-01-10,2022-01-10,AirNow,370670022,3,2.8,ug/m3 LC,12,Hattie Avenue,1,100,88101,PM2.5 - Local Conditions,49180,"Winston-Salem, NC",37,North Carolina,67,Forsyth,36.11094,-80.224501
2022-01-10,2022-01-10,AirNow,370670030,3,2.9,ug/m3 LC,12,Clemmons Middle,1,100,88101,PM2.5 - Local Conditions,49180,"Winston-Salem, NC",37,North Carolina,67,Forsyth,36.026612,-80.341962
